Temp,Depth
15,0
53,2
89,4
121,6
149,8
175,10
199,12
223,14
247,16
271,18
295,20
355,25
415,30
475,35
535,40
595,45
655,50
715,55
775,60
835,65
895,70
955,75
1015,80
1075,85
1135,90
1195,95
1255,100
