Depth,Salinity
0.12519705,35.5898307458
0.1518347,35.5875117169
0.17847235,35.5908242822
0.20511,35.58951374485
0.285023,35.5882032075
0.364936,35.5796032961
0.444849,35.586255534
0.586916666666667,35.5929077719
0.728984333333333,35.5887191208
0.871052,35.59033296595
0.9376465,35.5919468111
1.004241,35.5878829078
1.0708355,35.5826542502
1.13743,35.5841624536
1.31501333333333,35.585670657
1.49259666666667,35.5876573588
1.67018,35.5872929763
1.82112666666667,35.5869285938
1.97207333333333,35.5849786133
2.12302,35.58575140335
2.296165,35.5865241934
2.46931,35.5887202712
2.642455,35.5808845474
2.8156,35.5816267685
3.08197666666667,35.5823689896
3.34835333333333,35.580623483
3.61473,35.5883752861
3.86335,35.5961270892
4.11197,35.5963500706
4.36059,35.59804886005
4.72463666666667,35.5997476495
5.08868333333333,35.6031310431
5.45273,35.60428363875
5.68581,35.6054362344
5.91889,35.6094604637
6.15197,35.6110430468
6.38505,35.612673402
6.66918666666667,35.6143037572
6.95332333333333,35.6160538853
7.23746,35.6173897153
7.4328,35.6187255453
7.62814,35.6193433491
7.82348,35.6194864515
7.99218666666667,35.6196295539
8.16089333333333,35.6209169475
8.3296,35.62052715535
8.41839333333333,35.6201373632
8.50718666666667,35.6212202176
8.59598,35.62128325765
8.7824425,35.6213462977
8.968905,35.6212894214
9.1553675,35.6212767611
9.34183,35.6216652064
9.56382,35.6220536517
9.78581,35.6225444446
10.0078,35.62276025265
10.2297666666667,35.6229760607
10.4517333333333,35.6241416576
10.6737,35.6240551643
10.8868,35.623968671
11.0999,35.6239257243
11.313,35.6242174729
11.472825,35.6245092215
11.63265,35.6244088253
11.792475,35.624909957
11.9523,35.62597152885
12.2187,35.6270331007
12.4851,35.6270847435
12.7515,35.6271675823
12.9557,35.6272504211
13.1599,35.6276927019
13.3641,35.6281578663
13.5505666666667,35.6286230307
13.7370333333333,35.6286606129
13.9235,35.6285295382
14.1721333333333,35.6283984635
14.4207666666667,35.6287462991
14.6694,35.6282330759
14.9446333333333,35.6277198527
15.2198666666667,35.6295440363
15.4951,35.62865614785
15.641625,35.6277682594
15.78815,35.6277091723
15.934675,35.6291082871
16.0812,35.629759352
16.3209333333333,35.6304104169
16.5606666666667,35.6290811414
16.8004,35.6294593325
17.0312666666667,35.6298375236
17.2621333333333,35.6278868052
17.493,35.62793182125
17.7327333333333,35.6279768373
17.9724666666667,35.6280781243
18.2122,35.627629313
18.4075333333333,35.6271805017
18.6028666666667,35.6258856995
18.7982,35.6251336287
19.0557,35.6243815579
19.3132,35.6246530735
19.5707,35.6269447765
19.730525,35.6292364795
19.89035,35.6423822205
20.050175,35.6433168762
20.21,35.6436081073667
20.33786,35.6438993385333
20.46572,35.6441905697
20.59358,35.6440624675
20.72144,35.6439343653
20.8493,35.6444450326
20.98782,35.6449556999
21.12634,35.6454663672
21.26486,35.64461313655
21.40338,35.6437599059
21.5419,35.64210397805
21.70172,35.6404480502
21.86154,35.6406600468
22.02136,35.6408720434
22.18118,35.6411689068333
22.341,35.6414657702667
22.48085,35.6417626337
22.6207,35.6425774501
22.76055,35.6433922665
22.9004,35.64742156155
23.04424,35.6514508566
23.18808,35.6515585126
23.33192,35.6516661686
23.47576,35.6518815943
23.6196,35.65209702
23.76878,35.6523124457
23.91796,35.65320902345
24.06714,35.6541056012
24.21632,35.6545367019667
24.3655,35.6549678027333
24.48802,35.6553989035
24.61054,35.6592650819
24.73306,35.6608177578
24.85558,35.6623704337
24.9781,35.6624108294667
25.1113,35.6624512252333
25.2445,35.662491621
25.3777,35.66291805205
25.5109,35.6633444831
25.6441,35.66368190135
25.79326,35.6640193196
25.94242,35.66518127285
26.09158,35.6663432261
26.24074,35.6670552476333
26.3899,35.6677672691667
26.54974,35.6684792907
26.70958,35.66788771185
26.86942,35.667296133
27.02926,35.6680605807
27.1891,35.6688250284
27.29564,35.6695894761
27.40218,35.6716076804
27.50872,35.67356832945
27.61526,35.6755289785
27.7218,35.6768256757667
27.87098,35.6781223730333
28.02016,35.6794190703
28.16934,35.68012409985
28.31852,35.6808291294
28.4677,35.68101929365
28.60088,35.6812094579
28.73406,35.68392458765
28.86724,35.6866397174
29.00042,35.6870316256
29.1336,35.6874235338
29.320075,35.687815442
29.50655,35.68740020545
29.693025,35.6869849689
29.8795,35.6876636529333
29.98604,35.6883423369667
30.09258,35.689021021
30.19912,35.6902104492
30.30566,35.6904144021
30.4122,35.690618355
30.57736,35.6908223079
30.74252,35.6905542267
30.90768,35.6902861455
31.07284,35.6718755426667
31.238,35.6534649398333
31.37118,35.635054337
31.50436,35.7021017405
31.63754,35.7030118578
31.77072,35.7039219751
31.9039,35.7112540676667
32.04242,35.7185861602333
32.18094,35.7259182528
32.31946,35.73965225625
32.45798,35.7533862597
32.5965,35.7552032860667
32.71904,35.7570203124333
32.84158,35.7588373388
32.96412,35.7949276793
33.08666,35.794157303
33.2092,35.7933869267
33.3637,35.7926165504
33.5182,35.7899648528
33.6727,35.7873131552
33.8272,35.7903888323667
33.9817,35.7934645095333
34.08824,35.7965401867
34.19478,35.8088744756
34.30132,35.82326376855
34.40786,35.8376530615
34.5144,35.8315911552
34.68755,35.8255292489
34.8607,35.8194673426
35.03385,35.8266689727667
35.207,35.8338706029333
35.3402,35.8410722331
35.4734,35.81751527185
35.6066,35.7939583106
35.7398,35.8081621118
35.873,35.8115121581
35.95824,35.8148622044
36.04348,35.8182122507
36.12872,35.8386037244
36.21396,35.8589951981
36.2992,35.8597110392667
36.44836,35.8604268804333
36.59752,35.8611427216
36.74668,35.8880462719
36.89584,35.8987007501333
37.045,35.9093552283667
37.14622,35.9200097066
37.24744,35.91614165735
37.34866,35.9122736081
37.44988,35.9174769251333
37.5511,35.9226802421667
37.68962,35.9278835592
37.82814,35.93458714805
37.96666,35.9412907369
38.10518,35.9459082632
38.2437,35.9487794310333
38.37156,35.9516505988667
38.49942,35.9545217667
38.62728,35.9638872602
38.75514,35.9732527537
38.883,35.9742666037333
38.98956,35.9752804537667
39.09612,35.9762943038
39.20268,35.97327428
39.30924,35.9725159611333
39.4158,35.9717576422667
39.53832,35.9709993234
39.66084,35.97338728495
39.78336,35.9757752465
39.90588,35.9727189435333
40.0284,35.9696626405667
